SPECIES_NR,FAMILIE,GENUS,SOORT,SYST_NIV,STLYST90,FLORA_90,STATUS,UHOKN50,UHOKN80,HERKMST1,HERKMST2,HERKMST3,UFK_40,UFK_90,UHOKV50,UHOKV80,LV_DUUR,LV_VORM1,LV_VORM2,LV_VORM3,GR_VORM1,GR_VORM2,GR_VORM3,ANAT_BLD,GRN_BLD,VORM_BLD,HGT_MIN,HGT_MAX,HGT_EXTR,GESL_BLM,BLMKLEUR,VR_TYPE,VR_KLEUR,ZAADMORF,WRTLDIEP,KIEMTIJD,BGNBLOEI,ENDBLOEI,GRONDWTR,LICHTIND,TEMPTIND,CONTIIND,VOCHTIND,ZUURGIND,STIKSIND,ZOUT_IND,ZWAREIND,MAAI_IND,STRO_MIN,STRO_MAX,STRO_EXT,OECO_GRP,ECOL_GRP,TRANSGR,WESTHOFF,ELLENBRG,ECOTP_01,ECOTP_02,ECOTP_03,ECOTP_04,ECOTP_05,ECOTP_06,ECOTP_07,ECOTP_08,ECOTP_09,ECOTP_10,SG_VOCHT,SG_TROFIE,SG_ZUURG,SG_ZOUT,ECOTPAMP,GEBRUIK1,GEBRUIK2,GEBRUIK3,GEBRUIK4,WETT_BES,REDLIST1,REDLIST2,BESTUIV1,BESTUIV2,BESTUIV3,ZBESTUIV,PLG_LIGG,PLG_NORD,PLG_WEST,PLG_MIDD,PLG_OOST,PLG_Z_O,PLG_ZUID,PLG_FRYK,PLG_AMER,PLG_EURO,PLG_AZIE,PLG_BRON,PLG_NOOT,PLG_MONT,R_SALINIT,R_ALKALIN,R_DOM_ANIO,R_CARBOGEH,R_TROFIEGR,IVERSEN,SKLEROTYP,SOCIO_HDB,SOCIO_ISZ,HOOFD_ISZ,OVERSPOEL,MAAI_IBN,TYPE,SOCSRTGRP1,SOCSRTGRP2,SOCSRTGRP3,SOC_GRP_ND,SOC_GRP_DG,RL2000LANG,RL2000KORT,RL2000_ZK,RL2000_TK,FF_WET,WW_C_N,WW_CA,WW_CL,WW_GHG,WW_GLG,WW_GVG,WW_K,WW_MG,WW_NH4,WW_NO3,WW_NTOT,WW_PH_H2O,WW_PO4,WW_PTOT,WW_VOCHT
2007,10,1,3,2,1,1,1,0,2,116,208,401,0,2,,,6,H,,,63,,,,,vs,25,80,,E,O,11,o,11,,,7,9,P,3,7,2,6,5,5,0,0,,9,9,9,94,907,,,,H47,,,,,,,,,,3,3,0,1,1,99,,,,0,,4,W,,,,m,0,3,2,0,1,3,A,.,*,.,23,CM,co,,,,,,,,,,,,,H,L21AB02,,,,,GE-1,GE,zzz,0/+,,,,,,,,,,,,,,,,
2009,50,4,8,8,0,1,1,,,1,,,,,,,7,P,,,73,,,,,vs,50,150,,C,A,52,,,,,5,9,A,,,,,,,,,,9,9,9,92,804,,,,R47,R67,H47,H69,,,,,,,4,3,0,1,1,99,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,S37AA,,,B,B,,,,,,17.8669,109.107,21.0170,96.5007,179.303,94.3801,50.8094,27.6317,6.67544,5.36660,1939.48,5.29104,0.84,472.536,4.60309
2019,50,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2020,50,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,0,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,H,S35AA02,,,B,B,,,,,,25.7974,19.2572,13.7707,122.217,213.254,79.0817,16.2736,9.16876,9.86243,0.51845,1291.28,3.71033,0.20,630.020,2.02211
2021,50,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,m,0,4,+,0,0,0,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,14.0945,546.659,25.2800,58.9958,122.335,102.513,109.857,73.9783,6.36326,31.6546,1675.44,6.80866,1.02,329.010,18.7436
2022,50,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,s,0,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2025,113,53,2,5,1,1,12,31,81,1,,,5,5,,,6,G,H,,65,,,40,S,ve,60,150,,C,F,32,o,8,,,6,13,A,7,5,,5,7,,1,0,,9,9,9,31,202,0,15Ab,33100,,,,,,,,,,,,,,,1,99,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,H,P22A,,,Pb,P,,,,,,9.00931,433.532,1848.68,35.2701,95.5591,26.8486,59.5213,119.259,2.64856,6.34592,391.811,7.49789,1.56,97.2799,9.08613
2028,113,56,8,13,0,1,1,,,1,,,,,,,6,H,,,63,,,,S,ve,5,25,,C,F:U,32,o,,,,4,5,,,,,,,,,,,9,9,9,73,,0,25Ac,,,,,,,,,,,,,,,,,99,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,G16AB,,,Gm,Gm,,,,,,13.9713,4962.97,19.9752,7.51163,61.3800,19.8050,109.697,199.091,6.69197,2.05175,4261.62,5.64064,0.55,303.085,41.0974
2029,113,56,4,13,0,1,1,,,1,,,,,,,6,H,,,63,,,,S,ve,5,25,,C,F,32,o,,,,4,5,,,,,,,,,,,9,9,9,62,,,,,,,,,,,,,,,,,,,,99,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2101,41,3,1,2,1,1,37,4,48,301,,,2,4,,,7,P,,,73,,,,I,vs,50,150,,C,F,51,c,4,,52/53,4,5,A,,,,,,,,,,9,9,9,93,912,,,,99,,,,,,,,,,,,,,1,16,30,,,0,,,I,,,Z,b,0,1,1,0,0,0,A,*,.,.,6,X,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2102,67,1,1,2,1,1,37,3,30,301,,,3,4,25,53,7,P,L,,31,,,,S,hs,,1200,,C,V,51,c,4,,,7,8,A,,,,,,,,,,9,9,9,82,912,,,,R67,,,,,,,,,,5,3,0,1,1,30,,,,0,,,I,,,,b,0,1,3,0,0,0,A,*,.,.,6,X,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2103,67,1,2,2,0,1,47,0,2,301,,,,,24,41,7,P,L,,31,,,,S,hs,600,1200,,C,V,51,c,4,,,7,8,A,,,,,,,,,,9,9,9,82,,,,,,,,,,,,,,,,,,,,30,,,,0,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2104,35,1,2,2,1,1,37,2,2,301,,,2,2,,,6,H,,,65,,,,S,lw,100,200,,C,M,51,n,4,,,7,9,A,,,,,,,,,,9,9,9,17,312,,,,R48,,,,,,,,,,3,5,0,1,1,16,21,,,0,,,,,,,b,0,2,2,0,1,2,A,*,.,.,2,F,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2105,85,3,1,2,1,1,37,27,170,105,210,,3,5,,,7,P,,,73,,,,I,lw,100,300,500,C,P,43,o,,,22   ?,5,6,P,,,,,,,,,,9,9,9,95,912,,,,H41,H42,H47,,,,,,,,3,2,2,1,2,99,,,,0,,,IH,,,,b,0,0,0,0,1,+,A,.,*,.,1,DE,,,,,,,,,,,,,,H,,,,,,,,,,,26.5785,11.9623,15.3542,130.835,214.083,106.010,15.8677,14.9398,14.3709,8.19910,1906.19,3.38858,0.16,844.510,1.00000
2106,48,6,2,2,1,1,37,35,29,101,103,,3,3,,,7,P,,,73,,,40,S,ha,60,150,,B,F:V,51,r,4,,,4,5,A,5,4,4,,8,7,0,0,,9,9,9,84,912,,,84000,H47,,,,,,,,,,3,3,0,1,1,30,,,,0,,,I,,,,s,1,1,4,1,1,+,A,.,*,.,13,DFH,mo,,,,,,,,,,,,2,H,B43A,,,B,B,,,,,,20.3809,233.687,14.8181,93.1704,144.471,113.829,50.0323,47.0843,8.47946,18.4623,1574.82,5.03519,0.18,365.559,14.9765
2107,108,3,1,2,1,1,37,51,166,301,,,4,5,,,7,P,,,73,,,,S,ro,100,150,,C,R,52,a,4,,13,7,8,A,,,,,,,,,,9,9,9,84,912,,,,H47,H48,,,,,,,,,3,4,0,1,1,30,,,,0,,,I,,,,b,1,3,2,0,+,0,A,*,.,.,6,EF,,,,,,,,,,,,,,H,B43AA,,,B,B,,,,,,19.1944,284.623,18.5508,84.6341,149.275,111.499,58.5615,54.9222,8.12095,28.9321,1946.30,5.13490,0.23,458.124,17.9753
2108,116,5,1,2,1,1,37,0,1,105,,,0,1,,,6,A,,,13,,,,,ly,,50,,B,A:R,51,o,1,,,6,10,H,7,8,3,12,7,7,0,0,,1,3,0,41,3,,,,W18,,,,,,,,,,1,5,0,1,1,99,,,,0,,,H,,,,v,0,1,1,1,3,2,A,.,*,*,6,D,co,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2109,108,2,2,2,1,1,37,5,8,103,105,202,2,2,,,7,P,,,73,,,54,W,lw,100,250,,C,A,52,n,4,,32/21,5,6,A,7,5,2,4,8,4,0,0,,9,9,9,84,806,,,84120,H63,,,,,,,,,,5,1,5,1,1,99,,,,0,,,I,,,Z,m,0,2,3,0,3,1,A,.,*,.,6,D,mo,,,,,,,,,,,,2,H,,,,,,,,,,,,,,,,,,,,,,,,,
2110,137,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,m,+,1,3,,,,A,*,*,.,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2118,137,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,4,4,4,4,4,4,E,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,0.46,,
2119,137,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,,4,1,,,1,A,.,*,.,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2140,137,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,2,4,4,+,+,2,A,.,*,.,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2141,137,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,+,4,3,+,+,2,B,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,12163.7,6.31935,0.79,827.186,
2142,137,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,s,+,2,4,,2,1,A,*,*,.,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2143,137,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,1,2,,,,1,A,.,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,6.61972,-21.214,,,,,11857.7,5.82014,0.81,1485.05,
2144,137,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,2,4,4,4,4,4,E,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2145,137,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,3,4,4,4,4,4,E,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,13.1983,8107.33,705.432,-54.368,-3.8250,-40.551,345.216,540.882,8.33933,8.51441,13548.9,6.30435,5.05,1641.41,62.0936
2146,137,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,,4,4,3,1,3,A,.,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,5.60,,
2147,137,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,2,4,4,4,4,4,E,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,12.5176,7720.40,919.722,-29.439,9.81761,-22.067,325.517,589.065,7.87891,10.3792,13610.4,6.51323,7.40,1449.85,62.3143
2152,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,,,,,,,,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,8.56,,
2154,137,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,s,,3,3,+,,1,A,.,*,.,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2155,137,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,+,4,4,3,,1,B,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,14.0748,8146.63,500.020,-42.714,-19.240,-21.533,366.912,657.279,9.70508,15.3316,12588.1,6.05088,4.26,1142.36,58.1779
2156,137,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,s,,3,3,1,+,1,E,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2157,137,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,m,,3,4,,,1,A,.,*,.,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2160,137,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,s,,3,3,1,,1,A,*,*,.,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2161,137,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,m,,2,+,+,,+,A,,*,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2162,137,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,,3,3,1,1,2,A,,*,,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2163,137,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,,4,2,,,+,E,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2195,137,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,,2,1,,,1,E,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2196,137,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,c,1,4,3,1,,1,E,*,*,*,,,,,,,,,,,,,,,,K,,,,,,,,,,,,,,,,,,,,,,,,,
2201,16,1,2,2,0,1,49,,,103,105,,,,,,7,P,,,81,,,45,I,na,,4500,,A,O,21,o,9,,52/53,5,5,,3,5,4,,,,0,0,,9,9,9,,,,,80000,,,,,,,,,,,,,,,1,24,,,,0,,,W,,,,,,,,,,,,,,,,,mo,,,,,,,,,,,,1,H,,,,,,,,,,,25.9123,9.11122,12.5863,124.341,215.015,98.1618,13.9846,8.07121,12.6206,0.22827,1182.45,3.63921,0.22,390.486,1.00000
2203,16,1,1,2,0,1,97,,,301,,,,,,,7,P,,,81,,,,I,na,,3500,,A,O,21,o,9,,52/53,5,5,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,24,,,,0,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,29.7317,4.24757,14.0845,151.564,247.867,91.1883,12.2982,3.43868,11.2273,0.69229,1343.42,2.97652,0.22,1212.62,1.00000
2204,16,1,4,2,0,1,97,,,253,256,,,,,,7,P,,,81,,,,I,na,,3000,,A,O,21,o,9,,52/53,5,5,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,24,,,,0,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2213,131,8,31,2,2,1,1,,,1,,,,,,,6,H,,,53,,,,,ly,5,40,,,,,o,,,,5,7,,,,,,,,,,4,9,9,9,,,,,,,,,,,,,,,,,,,,1,99,,,,0,,,,,,,c,2,4,4,1,1,1,A,.,*,.,35,A,mo,,,,,,,,,,,,4,H,M09BA,P28AA,,Md,Gm,,,,,,14.8594,3065.00,1152.04,-34.993,19.8379,-16.550,142.114,273.620,6.73660,0.89267,3932.63,5.96444,0.34,296.380,37.4002
2214,113,35,2,2,0,1,7,,,105,,,,,,,1,T,,,65,,,,S,lw,30,45,,A,U/F,32,o,1,,,5,11,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,16,,,,0,,,I,,,Z,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2217,43,5,3,3,0,0,,,,,,,,,,,,,,,65,,,,,hs,,,,,,,o,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,99,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2222,101,5,9,3,0,0,,,,,,,,,,,,,,,65,,,,,lw,,,,,,,o,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,99,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,18.7466,292.002,23.1353,67.0990,143.863,68.6081,55.7131,55.9314,9.39840,13.0234,3300.72,4.82110,0.22,580.959,19.9098
2224,126,17,4,3,0,0,,,,,,,,,,,,,,,50,,,,,ly,,,,,,,o,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,99,,,,0,,,,,,,,,,,,,,,,,,,,sa,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2228,51,1,1,2,0,1,7,,,103,105,,,,,,7,P,,,81,73,,,S,hs,300,700,,C,F,43,o,1,,32/12,5,6,,7,7,3,3,8,3,0,0,,9,9,9,,,,,,,,,,,,,,,,,,,,,99,,,,0,,,IC,IH,,,,,,,,,,,,,,,,mo,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2229,16,5,1,2,0,1,97,,,101,103,,,,,,7,P,,,82,,,40,S,na,,3000,,A,O,21,o,9,,52/53,4,5,A,8,,6,4,,3,0,0,,9,9,9,,,,,73120,,,,,,,,,,,,,,,1,16,20,24,,0,,,W,,,,,,,,,,,,,,,,,sa,,,,,,,,,,,,1,H,B41AA03,,,B,B,,,,,,25.7644,29.8548,13.7462,131.433,222.889,96.7858,20.3920,13.7570,12.4970,0.31154,1402.05,3.35568,0.21,367.560,4.02301
2230,16,5,2,2,0,1,97,,,251,,,,,,,7,P,,,82,,,,S,na,,3500,,A,O,21,o,9,,52/53,4,5,A,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,24,,,,0,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,B41AA03,,,B,B,,,,,,26.7718,12.3575,14.2762,132.386,225.614,83.9783,17.7944,9.41791,11.6225,1.29933,1622.19,3.30453,0.20,680.960,1.00000
2231,69,1,5,3,0,0,,,,,,,,,,,,,,,61,,,,,ro,,,,,,,o,,,,,,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,99,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2232,9,3,1,2,0,1,47,,,103,200,,,,,,6,H,,,63,,,34,S,vs,30,150,,E,O,11,o,11,,,8,9,,5,6,4,8,7,7,0,0,,9,9,9,90,,,,84330,H47,,,,,,,,,,3,3,0,1,,99,,,,0,,,W,,,,,,,,,,,,,,,,,mo,,,,,,,,,,,,2,H,,,,,,,,,,,,,,,,,,,,,,,,,
2236,122,3,6,2,0,1,47,,,105,,,,,,,6,G,,,63,,,40,V,ly,30,60,,C,A/F,43,o,1,,,4,5,A,8,3,4,5,6,5,0,0,,9,9,9,,,,,54220,,,,,,,,,,,,,,,,99,,,,0,,,IL,,,,,,,,,,,,,,,,,sa,,,,,,,,,,,,3,H,,,,,,,,,,,,,,,,,,,,,,,,,
2238,16,4,4,2,0,1,97,,,101,103,,,,,,7,P,,,81,,,50,I,na,1000,4500,,A,O,21,o,8,,52/53,5,5,A,5,3,6,,,,0,0,,9,9,9,,,,,73120,,,,,,,,,,,,,,,1,20,24,,,0,,,W,,,,,,,,,,,,,,,,,mo,,,,,,,,,,,,1,H,,,,,,,,,,,26.5006,12.3446,14.7042,126.450,223.127,82.4147,18.6539,10.8015,13.1989,1.29664,1675.10,3.41626,0.20,574.472,1.00000
2239,16,4,2,2,0,1,97,,,150,,,,,,,7,P,,,81,,,,I,na,,2500,,A,O,21,o,9,,52/53,5,5,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,99,,,,0,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2240,16,4,3,2,0,1,9,,,210,256,,,,,,7,P,,,81,,,,I,na,,5000,,A,O,21,o,9,,,5,5,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,99,,,,0,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2241,16,4,5,2,0,1,97,,,301,,,,,,,7,P,,,81,,,,I,na,,3000,5000,A,O,21,o,9,,,5,5,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,99,,,,0,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2242,16,4,1,2,0,1,97,,,301,,,,,,,7,P,,,81,,,,I,na,,4000,,A,O,21,o,9,,52/53,5,5,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,24,,,,0,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,27.8049,8.31898,14.8408,135.881,229.312,92.9332,15.6838,5.59490,9.98758,1.17441,1505.49,3.44603,0.21,670.826,1.00000
2244,16,6,7,2,0,1,7,,,103,105,,,,,,7,P,,,82,73,,50,I,na,100,350,,A,O,21,o,9,,52/53,5,6,,8,3,3,,,3,0,0,,9,9,9,,,,,73120,,,,,,,,,,,,,,,1,99,,,,0,,,W,,,,,,,,,,,,,,,,,al,,,,,,,,,,,,1,H,,,,,,,,,,,,,,,,,,,,,,,,,
2245,16,6,3,2,0,1,9,,,103,109,,,,,,7,P,,,82,,,50,I,na,,3000,,A,O,21,o,9,,52/53,5,5,,7,7,4,3,9,2,0,0,,9,9,9,,,,,71110,,,,,,,,,,,,,,,1,24,,,,0,,,W,,,,,,,,,,,,,,,,,mo,,,,,,,,,,,,1,H,B41AA,,,B,B,,,,,,28.3371,6.88687,13.6604,140.396,223.202,92.8337,11.8133,7.59521,10.0828,0.65431,603.867,3.70745,0.29,158.349,1.00000
2246,16,6,4,5,0,1,9,,,,,,,,,,7,P,,,82,,,50,I,na,1500,3000,,A,O,21,o,9,,52/53,5,5,,7,7,4,3,9,2,0,0,,9,9,9,,,,,71110,,,,,,,,,,,,,,,1,99,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H,,,,,,,,,,,23.7431,12.7987,14.3693,136.022,219.867,100.268,12.2936,9.58694,8.29588,0.48644,752.174,4.14604,0.34,134.894,2.76652
2247,16,6,5,5,0,1,9,,,,,,,,,,7,P,,,82,,,50,I,na,1500,3000,,A,O,21,o,9,,52/53,5,5,,7,7,4,3,9,2,0,0,,9,9,9,,,,,71110,,,,,,,,,,,,,,,1,24,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,H,,,,,,,,,,,29.3120,5.34990,13.0621,148.490,242.951,87.1213,12.0146,6.07978,8.60602,0.39294,842.645,3.20292,0.30,246.524,1.00000
2248,16,6,2,2,0,1,9,,,103,109,,,,,,7,P,,,82,,,,I,na,,3000,,A,O,21,o,9,,,5,5,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,99,,,,0,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,26.3426,8.25106,11.1839,133.368,226.486,88.0334,9.77869,4.35514,9.49336,0.26214,945.784,3.53062,0.32,222.696,1.00000
2249,16,6,1,2,0,1,97,,,301,,,,,,,7,P,,,82,,,,I,na,,2000,,A,O,21,o,9,,52/53,5,6,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,1,24,,,,0,,,W,,,,,,,,,,,,,,,,,mo,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2250,49,1,1,8,0,1,9,,,,,,,,,,7,P,,,81,,,,S,ha,1000,3000,,A,V,32,o,8,,,5,5,,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,,24,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,
2254,19,2,8,8,0,1,9,,,,,,,,,,7,P,,,83,,,,S,ro,1200,2400,,B,O,43,o,8,,,4,4,A,,,,,,,,,,9,9,9,,,,,,,,,,,,,,,,,,,,2,16,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1,S,I,,H,,,,,,,,,,,18.0452,633.601,22.5584,55.9929,122.465,76.6762,84.0417,89.2270,8.29623,26.3039,3021.30,5.37879,0.31,489.030,25.5739
